PaisID,CodigoISO3,Nome,Regiao,SubRegiao,Renda,TipoFinanciamento,Capital,Latitude,Longitude
58,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Cairo,30.0982,31.2461
59,ERI,Eritrea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Asmara,15.3315,38.9183
60,ESP,Spain,Europe & Central Asia,,High income,Not classified,Madrid,40.4167,-3.70327
61,EST,Estonia,Europe & Central Asia,,High income,Not classified,Tallinn,59.4392,24.7586
62,ETH,Ethiopia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Addis Ababa,9.02274,38.7468
63,FIN,Finland,Europe & Central Asia,,High income,Not classified,Helsinki,60.1608,24.9525
64,FJI,Fiji,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,Blend,Suva,-18.1149,178.399
65,FRA,France,Europe & Central Asia,,High income,Not classified,Paris,48.8566,2.35097
66,FRO,Faroe Islands,Europe & Central Asia,,High income,Not classified,Torshavn,61.8926,-6.91181
67,FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Palikir,6.91771,158.185
68,GAB,Gabon,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Libreville,0.38832,9.45162
69,GBR,United Kingdom,Europe & Central Asia,,High income,Not classified,London,51.5002,-0.126236
70,GEO,Georgia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tbilisi,41.71,44.793
71,GHA,Ghana,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Accra,5.57045,-0.20795
72,GIB,Gibraltar,Europe & Central Asia,,High income,Not classified,,,
73,GIN,Guinea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Conakry,9.51667,-13.7
74,GMB,"Gambia, The",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Banjul,13.4495,-16.5885
75,GNB,Guinea-Bissau,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bissau,11.8037,-15.1804
76,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Malabo,3.7523,8.7741
77,GRC,Greece,Europe & Central Asia,,High income,Not classified,Athens,37.9792,23.7166
78,GRD,Grenada,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Saint George's,12.0653,-61.7449
79,GRL,Greenland,Europe & Central Asia,,High income,Not classified,Nuuk,64.1836,-51.7214
80,GTM,Guatemala,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Guatemala City,14.6248,-90.5328
81,GUM,Guam,East Asia & Pacific,,High income,Not classified,Agana,13.4443,144.794
82,GUY,Guyana,Latin America & Caribbean ,,High income,IDA,Georgetown,6.80461,-58.1548
83,HKG,"Hong Kong SAR, China",East Asia & Pacific,,High income,Not classified,,22.3964,114.109
84,HND,Honduras,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Tegucigalpa,15.1333,-87.4667
85,HRV,Croatia,Europe & Central Asia,,High income,IBRD,Zagreb,45.8069,15.9614
86,HTI,Haiti,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Port-au-Prince,18.5392,-72.3288
87,HUN,Hungary,Europe & Central Asia,,High income,Not classified,Budapest,47.4984,19.0408
88,IDN,Indonesia,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Jakarta,-6.19752,106.83
89,IMN,Isle of Man,Europe & Central Asia,,High income,Not classified,Douglas,54.1509,-4.47928
90,IND,India,South Asia,South Asia,Lower middle income,IBRD,New Delhi,28.6353,77.225
91,IRL,Ireland,Europe & Central Asia,,High income,Not classified,Dublin,53.3441,-6.26749
92,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Tehran,35.6878,51.4447
93,IRQ,Iraq,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Baghdad,33.3302,44.394
94,ISL,Iceland,Europe & Central Asia,,High income,Not classified,Reykjavik,64.1353,-21.8952
95,ISR,Israel,Middle East & North Africa,,High income,Not classified,,31.7717,35.2035
96,ITA,Italy,Europe & Central Asia,,High income,Not classified,Rome,41.8955,12.4823
97,JAM,Jamaica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Kingston,17.9927,-76.792
98,JOR,Jordan,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Amman,31.9497,35.9263
99,JPN,Japan,East Asia & Pacific,,High income,Not classified,Tokyo,35.67,139.77
100,KAZ,Kazakhstan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Astana,51.1879,71.4382
101,KEN,Kenya,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Nairobi,-1.27975,36.8126
102,KGZ,Kyrgyz Republic,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IDA,Bishkek,42.8851,74.6057
103,KHM,Cambodia,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Phnom Penh,11.5556,104.874
104,KIR,Kiribati,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Tarawa,1.32905,172.979
105,KNA,St. Kitts and Nevis,Latin America & Caribbean ,,High income,IBRD,Basseterre,17.3,-62.7309
106,KOR,"Korea, Rep.",East Asia & Pacific,,High income,Not classified,Seoul,37.5323,126.957
107,KWT,Kuwait,Middle East & North Africa,,High income,Not classified,Kuwait City,29.3721,47.9824
108,LAO,Lao PDR,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Vientiane,18.5826,102.177
109,LBN,Lebanon,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Beirut,33.8872,35.5134
110,LBR,Liberia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Monrovia,6.30039,-10.7957
111,LBY,Libya,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Tripoli,32.8578,13.1072
112,LCA,St. Lucia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Castries,14,-60.9832
113,LIE,Liechtenstein,Europe & Central Asia,,High income,Not classified,Vaduz,47.1411,9.52148
114,LKA,Sri Lanka,South Asia,South Asia,Lower middle income,IDA,Colombo,6.92148,79.8528
115,LSO,Lesotho,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Maseru,-29.5208,27.7167
116,LTU,Lithuania,Europe & Central Asia,,High income,Not classified,Vilnius,54.6896,25.2799
117,LUX,Luxembourg,Europe & Central Asia,,High income,Not classified,Luxembourg,49.61,6.1296
118,LVA,Latvia,Europe & Central Asia,,High income,Not classified,Riga,56.9465,24.1048
119,MAC,"Macao SAR, China",East Asia & Pacific,,High income,Not classified,,22.1667,113.55
120,MAF,St. Martin (French part),Latin America & Caribbean ,,High income,Not classified,Marigot,,
121,MAR,Morocco,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Rabat,33.9905,-6.8704
122,MCO,Monaco,Europe & Central Asia,,High income,Not classified,Monaco,43.7325,7.41891
123,MDA,Moldova,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Chisinau,47.0167,28.8497
124,MDG,Madagascar,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Antananarivo,-20.4667,45.7167
125,MDV,Maldives,South Asia,South Asia,Upper middle income,IDA,Male,4.1742,73.5109
126,MEX,Mexico,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Mexico City,19.427,-99.1276
127,MHL,Marshall Islands,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Majuro,7.11046,171.135
128,MKD,North Macedonia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Skopje,42.0024,21.4361
129,MLI,Mali,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bamako,13.5667,-7.50034
130,MLT,Malta,Middle East & North Africa,,High income,Not classified,Valletta,35.9042,14.5189
131,MMR,Myanmar,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Naypyidaw,21.914,95.9562
132,MNE,Montenegro,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Podgorica,42.4602,19.2595
133,MNG,Mongolia,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Ulaanbaatar,47.9129,106.937
134,MNP,Northern Mariana Islands,East Asia & Pacific,,High income,Not classified,Saipan,15.1935,145.765
135,MOZ,Mozambique,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Maputo,-25.9664,32.5713
136,MRT,Mauritania,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Nouakchott,18.2367,-15.9824
137,MUS,Mauritius,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Port Louis,-20.1605,57.4977
138,MWI,Malawi,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lilongwe,-13.9899,33.7703
139,MYS,Malaysia,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Kuala Lumpur,3.12433,101.684
140,NAM,Namibia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Windhoek,-22.5648,17.0931
141,NCL,New Caledonia,East Asia & Pacific,,High income,Not classified,Noum'ea,-22.2677,166.464
142,NER,Niger,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Niamey,13.514,2.1073
143,NGA,Nigeria,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Abuja,9.05804,7.48906
144,NIC,Nicaragua,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Managua,12.1475,-86.2734
145,NLD,Netherlands,Europe & Central Asia,,High income,Not classified,Amsterdam,52.3738,4.89095
146,NOR,Norway,Europe & Central Asia,,High income,Not classified,Oslo,59.9138,10.7387
147,NPL,Nepal,South Asia,South Asia,Lower middle income,IDA,Kathmandu,27.6939,85.3157
148,NRU,Nauru,East Asia & Pacific,,High income,IBRD,Yaren District,-0.5477,166.920867
149,NZL,New Zealand,East Asia & Pacific,,High income,Not classified,Wellington,-41.2865,174.776
150,OMN,Oman,Middle East & North Africa,,High income,Not classified,Muscat,23.6105,58.5874
151,PAK,Pakistan,South Asia,South Asia,Lower middle income,Blend,Islamabad,30.5167,72.8
152,PAN,Panama,Latin America & Caribbean ,,High income,IBRD,Panama City,8.99427,-79.5188
153,PER,Peru,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Lima,-12.0931,-77.0465
154,PHL,Philippines,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Manila,14.5515,121.035
155,PLW,Palau,East Asia & Pacific,,High income,IBRD,Koror,7.34194,134.479
156,PNG,Papua New Guinea,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,Blend,Port Moresby,-9.47357,147.194
157,POL,Poland,Europe & Central Asia,,High income,IBRD,Warsaw,52.26,21.02
158,PRI,Puerto Rico,Latin America & Caribbean ,,High income,Not classified,San Juan,18.23,-66
159,PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,East Asia & Pacific (excluding high income),Low income,Not classified,Pyongyang,39.0319,125.754
160,PRT,Portugal,Europe & Central Asia,,High income,Not classified,Lisbon,38.7072,-9.13552
161,PRY,Paraguay,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Asuncion,-25.3005,-57.6362
162,PSE,West Bank and Gaza,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,Not classified,,,
163,PYF,French Polynesia,East Asia & Pacific,,High income,Not classified,Papeete,-17.535,-149.57
164,QAT,Qatar,Middle East & North Africa,,High income,Not classified,Doha,25.2948,51.5082
165,ROU,Romania,Europe & Central Asia,,High income,IBRD,Bucharest,44.4479,26.0979
166,RUS,Russian Federation,Europe & Central Asia,,High income,IBRD,Moscow,55.7558,37.6176
167,RWA,Rwanda,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kigali,-1.95325,30.0587
168,SAU,Saudi Arabia,Middle East & North Africa,,High income,Not classified,Riyadh,24.6748,46.6977
169,SDN,Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Khartoum,15.5932,32.5363
170,SEN,Senegal,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Dakar,14.7247,-17.4734
171,SGP,Singapore,East Asia & Pacific,,High income,Not classified,Singapore,1.28941,103.85
172,SLB,Solomon Islands,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Honiara,-9.42676,159.949
173,SLE,Sierra Leone,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Freetown,8.4821,-13.2134
174,SLV,El Salvador,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,San Salvador,13.7034,-89.2073
175,SMR,San Marino,Europe & Central Asia,,High income,Not classified,San Marino,43.9322,12.4486
176,SOM,Somalia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Mogadishu,2.07515,45.3254
177,SRB,Serbia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Belgrade,44.8024,20.4656
178,SSD,South Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Juba,4.85,31.6
179,STP,Sao Tome and Principe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Sao Tome,0.20618,6.6071
180,SUR,Suriname,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Paramaribo,5.8232,-55.1679
181,SVK,Slovak Republic,Europe & Central Asia,,High income,Not classified,Bratislava,48.1484,17.1073
182,SVN,Slovenia,Europe & Central Asia,,High income,Not classified,Ljubljana,46.0546,14.5044
183,SWE,Sweden,Europe & Central Asia,,High income,Not classified,Stockholm,59.3327,18.0645
184,SWZ,Eswatini,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Mbabane,-26.5225,31.4659
185,SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,,High income,Not classified,Philipsburg,,
186,SYC,Seychelles,Sub-Saharan Africa ,,High income,IBRD,Victoria,-4.6309,55.4466
187,SYR,Syrian Arab Republic,Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Damascus,33.5146,36.3119
188,TCA,Turks and Caicos Islands,Latin America & Caribbean ,,High income,Not classified,Grand Turk,21.4602778,-71.141389
189,TCD,Chad,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,N'Djamena,12.1048,15.0445
190,TGO,Togo,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lome,6.1228,1.2255
191,THA,Thailand,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Bangkok,13.7308,100.521
192,TJK,Tajikistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IDA,Dushanbe,38.5878,68.7864
193,TKM,Turkmenistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Ashgabat,37.9509,58.3794
194,TLS,Timor-Leste,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,Blend,Dili,-8.56667,125.567
195,TON,Tonga,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Nuku'alofa,-21.136,-175.216
196,TTO,Trinidad and Tobago,Latin America & Caribbean ,,High income,IBRD,Port-of-Spain,10.6596,-61.4789
197,TUN,Tunisia,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Tunis,36.7899,10.21
198,TUR,Turkiye,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Ankara,39.7153,32.3606
199,TUV,Tuvalu,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Funafuti,-8.6314877,179.089567
200,TZA,Tanzania,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Dodoma,-6.17486,35.7382
201,UGA,Uganda,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kampala,0.314269,32.5729
202,UKR,Ukraine,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Kiev,50.4536,30.5038
203,URY,Uruguay,Latin America & Caribbean ,,High income,IBRD,Montevideo,-34.8941,-56.0675
204,USA,United States,North America,,High income,Not classified,Washington D.C.,38.8895,-77.032
205,UZB,Uzbekistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,Blend,Tashkent,41.3052,69.269
206,VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Kingstown,13.2035,-61.2653
207,VEN,"Venezuela, RB",Latin America & Caribbean ,,Not classified,IBRD,Caracas,9.08165,-69.8371
208,VGB,British Virgin Islands,Latin America & Caribbean ,,High income,Not classified,Road Town,18.431389,-64.623056
209,VIR,Virgin Islands (U.S.),Latin America & Caribbean ,,High income,Not classified,Charlotte Amalie,18.3358,-64.8963
210,VNM,Viet Nam,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Hanoi,21.0069,105.825
211,VUT,Vanuatu,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Port-Vila,-17.7404,168.321
212,WSM,Samoa,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Apia,-13.8314,-171.752
213,XKX,Kosovo,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IDA,Pristina,42.565,20.926
214,YEM,"Yemen, Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Sana'a,15.352,44.2075
215,ZAF,South Africa,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Pretoria,-25.746,28.1871
216,ZMB,Zambia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Lusaka,-15.3982,28.2937
217,ZWE,Zimbabwe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Harare,-17.8312,31.0672
