YEAR,Value,ISO3_Code,WB_Code
2001,0.441953155279431,AND,NV.AGR.TOTL.ZS
2000,0.517055747893417,AND,NV.AGR.TOTL.ZS
1999,0.517055747893417,AND,NV.AGR.TOTL.ZS
1998,0.517055747893417,AND,NV.AGR.TOTL.ZS
1997,0.517055747893417,AND,NV.AGR.TOTL.ZS
1996,0.517055747893417,AND,NV.AGR.TOTL.ZS
1995,0.517055747893417,AND,NV.AGR.TOTL.ZS
1994,0.517055747893417,AND,NV.AGR.TOTL.ZS
1993,0.517055747893417,AND,NV.AGR.TOTL.ZS
1992,0.517055747893417,AND,NV.AGR.TOTL.ZS
1991,0.517055747893417,AND,NV.AGR.TOTL.ZS
1990,0.517055747893417,AND,NV.AGR.TOTL.ZS
2021,0.943418359308674,ARE,NV.AGR.TOTL.ZS
2020,0.963890712780097,ARE,NV.AGR.TOTL.ZS
2019,0.746712201018526,ARE,NV.AGR.TOTL.ZS
2018,0.711463999831489,ARE,NV.AGR.TOTL.ZS
2017,0.761757601656358,ARE,NV.AGR.TOTL.ZS
2016,0.750862912190636,ARE,NV.AGR.TOTL.ZS
2015,0.723671593030506,ARE,NV.AGR.TOTL.ZS
2014,0.628716004185158,ARE,NV.AGR.TOTL.ZS
2013,0.633172495058869,ARE,NV.AGR.TOTL.ZS
2012,0.627943993218947,ARE,NV.AGR.TOTL.ZS
2011,0.651421594936876,ARE,NV.AGR.TOTL.ZS
2010,0.735025770535299,ARE,NV.AGR.TOTL.ZS
2009,1.03688688860825,ARE,NV.AGR.TOTL.ZS
2008,0.82730546409323,ARE,NV.AGR.TOTL.ZS
2007,0.976671167666283,ARE,NV.AGR.TOTL.ZS
2006,1.09424400194674,ARE,NV.AGR.TOTL.ZS
2005,1.39540987408529,ARE,NV.AGR.TOTL.ZS
2004,1.66536190905993,ARE,NV.AGR.TOTL.ZS
2003,1.92768393253654,ARE,NV.AGR.TOTL.ZS
2002,2.20332258864369,ARE,NV.AGR.TOTL.ZS
2001,2.23820016235649,ARE,NV.AGR.TOTL.ZS
2000,2.26265009303746,ARE,NV.AGR.TOTL.ZS
1999,2.33324519711343,ARE,NV.AGR.TOTL.ZS
1998,2.18089049130306,ARE,NV.AGR.TOTL.ZS
1997,2.00402186456958,ARE,NV.AGR.TOTL.ZS
1996,1.79243187203791,ARE,NV.AGR.TOTL.ZS
1995,1.78706830470903,ARE,NV.AGR.TOTL.ZS
1994,1.83042501688033,ARE,NV.AGR.TOTL.ZS
1993,1.48090107737512,ARE,NV.AGR.TOTL.ZS
1992,1.37862107758448,ARE,NV.AGR.TOTL.ZS
1991,1.29776800811633,ARE,NV.AGR.TOTL.ZS
1990,1.0584284754869,ARE,NV.AGR.TOTL.ZS
2021,7.29128249622041,ARG,NV.AGR.TOTL.ZS
2020,6.35703367575527,ARG,NV.AGR.TOTL.ZS
2019,5.3185559967348,ARG,NV.AGR.TOTL.ZS
2018,4.53787889681146,ARG,NV.AGR.TOTL.ZS
2017,5.23162237725058,ARG,NV.AGR.TOTL.ZS
2016,6.26456582010254,ARG,NV.AGR.TOTL.ZS
2015,5.1566859021408,ARG,NV.AGR.TOTL.ZS
2014,6.71270351428559,ARG,NV.AGR.TOTL.ZS
2013,6.05291843670451,ARG,NV.AGR.TOTL.ZS
2012,5.7817442068501,ARG,NV.AGR.TOTL.ZS
2011,6.99873377022519,ARG,NV.AGR.TOTL.ZS
2010,7.13216745078964,ARG,NV.AGR.TOTL.ZS
2009,5.2736234689014,ARG,NV.AGR.TOTL.ZS
2008,7.3189545972436,ARG,NV.AGR.TOTL.ZS
2007,7.45235394606923,ARG,NV.AGR.TOTL.ZS
2006,6.93557229126392,ARG,NV.AGR.TOTL.ZS
2005,7.93875427420938,ARG,NV.AGR.TOTL.ZS
2004,8.36248661002826,ARG,NV.AGR.TOTL.ZS
2003,10.328166939117,ARG,NV.AGR.TOTL.ZS
2002,10.2066467144411,ARG,NV.AGR.TOTL.ZS
2001,4.56858960891786,ARG,NV.AGR.TOTL.ZS
2000,4.67991094417297,ARG,NV.AGR.TOTL.ZS
1999,4.45782610229152,ARG,NV.AGR.TOTL.ZS
1998,5.25272256987622,ARG,NV.AGR.TOTL.ZS
1997,5.22197210944516,ARG,NV.AGR.TOTL.ZS
1996,5.61086611323361,ARG,NV.AGR.TOTL.ZS
1995,5.351464616273,ARG,NV.AGR.TOTL.ZS
1994,5.08266800031075,ARG,NV.AGR.TOTL.ZS
1993,5.13682648211779,ARG,NV.AGR.TOTL.ZS
1992,5.99078709147934,ARG,NV.AGR.TOTL.ZS
1991,6.71649176009431,ARG,NV.AGR.TOTL.ZS
1990,8.12367620787488,ARG,NV.AGR.TOTL.ZS
2021,11.3435484176857,ARM,NV.AGR.TOTL.ZS
2020,11.3498051554549,ARM,NV.AGR.TOTL.ZS
2019,11.5256107379588,ARM,NV.AGR.TOTL.ZS
2018,13.9423116554146,ARM,NV.AGR.TOTL.ZS
2017,14.9942601242776,ARM,NV.AGR.TOTL.ZS
2016,16.39047353385,ARM,NV.AGR.TOTL.ZS
2015,17.2231200318056,ARM,NV.AGR.TOTL.ZS
2014,18.0720363470662,ARM,NV.AGR.TOTL.ZS
2013,18.4347628834968,ARM,NV.AGR.TOTL.ZS
2012,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2011,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2010,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2009,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2008,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2007,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2006,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2005,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2004,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2003,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2002,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2001,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2000,17.9126819526397,ARM,NV.AGR.TOTL.ZS
1999,17.9126819526397,ARM,NV.AGR.TOTL.ZS
1998,17.9126819526397,ARM,NV.AGR.TOTL.ZS
1997,17.9126819526397,ARM,NV.AGR.TOTL.ZS
1996,17.9126819526397,ARM,NV.AGR.TOTL.ZS
1995,17.9126819526397,ARM,NV.AGR.TOTL.ZS
1994,17.9126819526397,ARM,NV.AGR.TOTL.ZS
1993,17.9126819526397,ARM,NV.AGR.TOTL.ZS
1992,17.9126819526397,ARM,NV.AGR.TOTL.ZS
1991,17.9126819526397,ARM,NV.AGR.TOTL.ZS
1990,17.9126819526397,ARM,NV.AGR.TOTL.ZS
2021,,ASM,NV.AGR.TOTL.ZS
2020,,ASM,NV.AGR.TOTL.ZS
2019,,ASM,NV.AGR.TOTL.ZS
2018,,ASM,NV.AGR.TOTL.ZS
2017,,ASM,NV.AGR.TOTL.ZS
2016,,ASM,NV.AGR.TOTL.ZS
2015,,ASM,NV.AGR.TOTL.ZS
2014,,ASM,NV.AGR.TOTL.ZS
2013,,ASM,NV.AGR.TOTL.ZS
2012,,ASM,NV.AGR.TOTL.ZS
2011,,ASM,NV.AGR.TOTL.ZS
2010,,ASM,NV.AGR.TOTL.ZS
2009,,ASM,NV.AGR.TOTL.ZS
2008,,ASM,NV.AGR.TOTL.ZS
2007,,ASM,NV.AGR.TOTL.ZS
2006,,ASM,NV.AGR.TOTL.ZS
2005,,ASM,NV.AGR.TOTL.ZS
2004,,ASM,NV.AGR.TOTL.ZS
2003,,ASM,NV.AGR.TOTL.ZS
2002,,ASM,NV.AGR.TOTL.ZS
2001,,ASM,NV.AGR.TOTL.ZS
2000,,ASM,NV.AGR.TOTL.ZS
1999,,ASM,NV.AGR.TOTL.ZS
1998,,ASM,NV.AGR.TOTL.ZS
1997,,ASM,NV.AGR.TOTL.ZS
1996,,ASM,NV.AGR.TOTL.ZS
1995,,ASM,NV.AGR.TOTL.ZS
1994,,ASM,NV.AGR.TOTL.ZS
1993,,ASM,NV.AGR.TOTL.ZS
1992,,ASM,NV.AGR.TOTL.ZS
1991,,ASM,NV.AGR.TOTL.ZS
1990,,ASM,NV.AGR.TOTL.ZS
2021,2.08201790600159,ATG,NV.AGR.TOTL.ZS
2020,2.28029875431527,ATG,NV.AGR.TOTL.ZS
2019,1.64775837456665,ATG,NV.AGR.TOTL.ZS
2018,1.62679191195975,ATG,NV.AGR.TOTL.ZS
2017,1.66492908993713,ATG,NV.AGR.TOTL.ZS
2016,1.45866534731252,ATG,NV.AGR.TOTL.ZS
2015,1.44541131496108,ATG,NV.AGR.TOTL.ZS
2014,1.44110410331897,ATG,NV.AGR.TOTL.ZS
2013,1.48407919187403,ATG,NV.AGR.TOTL.ZS
2012,1.81290972569135,ATG,NV.AGR.TOTL.ZS
2011,1.63746780706496,ATG,NV.AGR.TOTL.ZS
2010,1.21473544271658,ATG,NV.AGR.TOTL.ZS
2009,1.11209061281188,ATG,NV.AGR.TOTL.ZS
2008,1.13093766050945,ATG,NV.AGR.TOTL.ZS
2007,1.17936803205411,ATG,NV.AGR.TOTL.ZS
2006,1.23281755209428,ATG,NV.AGR.TOTL.ZS
2005,1.32900263274644,ATG,NV.AGR.TOTL.ZS
2004,1.24120706394436,ATG,NV.AGR.TOTL.ZS
2003,1.36082329223123,ATG,NV.AGR.TOTL.ZS
2002,1.36189097448207,ATG,NV.AGR.TOTL.ZS
2001,1.29025995129343,ATG,NV.AGR.TOTL.ZS
2000,1.28974414864959,ATG,NV.AGR.TOTL.ZS
1999,1.35378941349091,ATG,NV.AGR.TOTL.ZS
1998,1.36749892138288,ATG,NV.AGR.TOTL.ZS
1997,1.42723137286546,ATG,NV.AGR.TOTL.ZS
1996,1.36016579406632,ATG,NV.AGR.TOTL.ZS
1995,1.39607032057911,ATG,NV.AGR.TOTL.ZS
1994,1.3533692019625,ATG,NV.AGR.TOTL.ZS
1993,1.51780043347018,ATG,NV.AGR.TOTL.ZS
1992,1.58416679597681,ATG,NV.AGR.TOTL.ZS
1991,1.58266195662552,ATG,NV.AGR.TOTL.ZS
1990,1.59926342584354,ATG,NV.AGR.TOTL.ZS
2021,2.30383992497922,AUS,NV.AGR.TOTL.ZS
2020,2.01224930777837,AUS,NV.AGR.TOTL.ZS
2019,2.11578072211076,AUS,NV.AGR.TOTL.ZS
2018,2.46003762123075,AUS,NV.AGR.TOTL.ZS
2017,2.70644694209046,AUS,NV.AGR.TOTL.ZS
2016,2.40555300214607,AUS,NV.AGR.TOTL.ZS
2015,2.3759901241561,AUS,NV.AGR.TOTL.ZS
2014,2.22073827026642,AUS,NV.AGR.TOTL.ZS
2013,2.28547861762825,AUS,NV.AGR.TOTL.ZS
2012,2.26781756709032,AUS,NV.AGR.TOTL.ZS
2011,2.29239672089776,AUS,NV.AGR.TOTL.ZS
2010,2.2044403145849,AUS,NV.AGR.TOTL.ZS
2009,2.30109850559796,AUS,NV.AGR.TOTL.ZS
2008,2.3420923019017,AUS,NV.AGR.TOTL.ZS
2007,2.20601401439639,AUS,NV.AGR.TOTL.ZS
2006,2.73103337885222,AUS,NV.AGR.TOTL.ZS
2005,2.88586426810108,AUS,NV.AGR.TOTL.ZS
2004,3.06160592253807,AUS,NV.AGR.TOTL.ZS
2003,2.88740742216489,AUS,NV.AGR.TOTL.ZS
2002,3.94502714007345,AUS,NV.AGR.TOTL.ZS
2001,3.49688013321987,AUS,NV.AGR.TOTL.ZS
2000,3.11042835542061,AUS,NV.AGR.TOTL.ZS
1999,3.04756942266652,AUS,NV.AGR.TOTL.ZS
1998,3.02881678093816,AUS,NV.AGR.TOTL.ZS
1997,3.2294108664996,AUS,NV.AGR.TOTL.ZS
1996,3.37883694507618,AUS,NV.AGR.TOTL.ZS
1995,3.00960378827297,AUS,NV.AGR.TOTL.ZS
1994,3.338069551688,AUS,NV.AGR.TOTL.ZS
1993,3.25260169867343,AUS,NV.AGR.TOTL.ZS
1992,3.04290304290304,AUS,NV.AGR.TOTL.ZS
1991,3.17119798137394,AUS,NV.AGR.TOTL.ZS
1990,4.19344556378381,AUS,NV.AGR.TOTL.ZS
2021,1.21593848387113,AUT,NV.AGR.TOTL.ZS
2020,1.07138113272871,AUT,NV.AGR.TOTL.ZS
2019,1.04463413653499,AUT,NV.AGR.TOTL.ZS
2018,1.10911414021412,AUT,NV.AGR.TOTL.ZS
2017,1.19990203076681,AUT,NV.AGR.TOTL.ZS
2016,1.14928264077268,AUT,NV.AGR.TOTL.ZS
2015,1.14362854172989,AUT,NV.AGR.TOTL.ZS
2014,1.27555801772568,AUT,NV.AGR.TOTL.ZS
2013,1.27784992108872,AUT,NV.AGR.TOTL.ZS
2012,1.41768134316306,AUT,NV.AGR.TOTL.ZS
2011,1.46130648071081,AUT,NV.AGR.TOTL.ZS
2010,1.29288595990855,AUT,NV.AGR.TOTL.ZS
2009,1.17655306368833,AUT,NV.AGR.TOTL.ZS
2008,1.38504114785417,AUT,NV.AGR.TOTL.ZS
2007,1.46196340335606,AUT,NV.AGR.TOTL.ZS
2006,1.32751796800624,AUT,NV.AGR.TOTL.ZS
2005,1.28239498294254,AUT,NV.AGR.TOTL.ZS
2004,1.4931762753994,AUT,NV.AGR.TOTL.ZS
2003,1.4869307559019,AUT,NV.AGR.TOTL.ZS
2002,1.59223426298384,AUT,NV.AGR.TOTL.ZS
2001,1.70825527346988,AUT,NV.AGR.TOTL.ZS
2000,1.67089601150509,AUT,NV.AGR.TOTL.ZS
1999,1.78102549667367,AUT,NV.AGR.TOTL.ZS
1998,1.83846734685464,AUT,NV.AGR.TOTL.ZS
1997,1.96702623453595,AUT,NV.AGR.TOTL.ZS
1996,1.97649891499438,AUT,NV.AGR.TOTL.ZS
1995,2.18502137013502,AUT,NV.AGR.TOTL.ZS
1994,2.40057756945597,AUT,NV.AGR.TOTL.ZS
1993,2.23142704311096,AUT,NV.AGR.TOTL.ZS
1992,2.48336784032364,AUT,NV.AGR.TOTL.ZS
1991,2.84569687770774,AUT,NV.AGR.TOTL.ZS
1990,3.13503392093378,AUT,NV.AGR.TOTL.ZS
2021,5.72598365721349,AZE,NV.AGR.TOTL.ZS
2020,6.7389474235341,AZE,NV.AGR.TOTL.ZS
2019,5.6952581438455,AZE,NV.AGR.TOTL.ZS
2018,5.21250561853868,AZE,NV.AGR.TOTL.ZS
2017,5.60736901068842,AZE,NV.AGR.TOTL.ZS
2016,5.60494628069084,AZE,NV.AGR.TOTL.ZS
2015,6.17745494667157,AZE,NV.AGR.TOTL.ZS
2014,5.31940671805552,AZE,NV.AGR.TOTL.ZS
2013,5.3662644804235,AZE,NV.AGR.TOTL.ZS
2012,5.13976950772418,AZE,NV.AGR.TOTL.ZS
2011,5.07564993663838,AZE,NV.AGR.TOTL.ZS
2010,5.52125279642058,AZE,NV.AGR.TOTL.ZS
2009,6.12193306461806,AZE,NV.AGR.TOTL.ZS
2008,5.59580638410253,AZE,NV.AGR.TOTL.ZS
2007,6.70298478517657,AZE,NV.AGR.TOTL.ZS
2006,7.09157055829982,AZE,NV.AGR.TOTL.ZS
2005,9.08684368137353,AZE,NV.AGR.TOTL.ZS
2004,10.9880190382406,AZE,NV.AGR.TOTL.ZS
2003,12.4256629119149,AZE,NV.AGR.TOTL.ZS
2002,13.9546391752577,AZE,NV.AGR.TOTL.ZS
2001,14.8374595530138,AZE,NV.AGR.TOTL.ZS
2000,16.0848646701003,AZE,NV.AGR.TOTL.ZS
1999,18.3995125956928,AZE,NV.AGR.TOTL.ZS
1998,18.1479974423066,AZE,NV.AGR.TOTL.ZS
1997,20.1279169173289,AZE,NV.AGR.TOTL.ZS
1996,24.9615750567225,AZE,NV.AGR.TOTL.ZS
1995,25.3444559002718,AZE,NV.AGR.TOTL.ZS
1994,32.3456631972244,AZE,NV.AGR.TOTL.ZS
1993,27.1095541401274,AZE,NV.AGR.TOTL.ZS
1992,26.0596253189768,AZE,NV.AGR.TOTL.ZS
1991,30.4827844311377,AZE,NV.AGR.TOTL.ZS
1990,26.5006821282401,AZE,NV.AGR.TOTL.ZS
2021,28.6602199997861,BDI,NV.AGR.TOTL.ZS
2020,28.6249499997947,BDI,NV.AGR.TOTL.ZS
2019,28.8443899996176,BDI,NV.AGR.TOTL.ZS
2018,29.0119004854571,BDI,NV.AGR.TOTL.ZS
2017,28.5466470060171,BDI,NV.AGR.TOTL.ZS
2016,31.5443361286606,BDI,NV.AGR.TOTL.ZS
2015,30.6846972994222,BDI,NV.AGR.TOTL.ZS
2014,34.9581923436541,BDI,NV.AGR.TOTL.ZS
2013,38.3674000405511,BDI,NV.AGR.TOTL.ZS
2012,35.4200325741609,BDI,NV.AGR.TOTL.ZS
2011,36.7045760044036,BDI,NV.AGR.TOTL.ZS
2010,38.4305452876335,BDI,NV.AGR.TOTL.ZS
2009,36.7213641376786,BDI,NV.AGR.TOTL.ZS
2008,38.0048233017065,BDI,NV.AGR.TOTL.ZS
2007,34.9341719197591,BDI,NV.AGR.TOTL.ZS
2006,40.6376822658218,BDI,NV.AGR.TOTL.ZS
2005,40.8481233922949,BDI,NV.AGR.TOTL.ZS
2004,41.9026049689034,BDI,NV.AGR.TOTL.ZS
2003,42.8412837005394,BDI,NV.AGR.TOTL.ZS
2002,43.3336112421252,BDI,NV.AGR.TOTL.ZS
2001,43.8431420582797,BDI,NV.AGR.TOTL.ZS
2000,44.1070401093686,BDI,NV.AGR.TOTL.ZS
1999,47.6353041282389,BDI,NV.AGR.TOTL.ZS
1998,44.538704047976,BDI,NV.AGR.TOTL.ZS
1997,42.4218641481914,BDI,NV.AGR.TOTL.ZS
1996,53.3809215127328,BDI,NV.AGR.TOTL.ZS
1995,42.0226931283613,BDI,NV.AGR.TOTL.ZS
1994,40.7323254524441,BDI,NV.AGR.TOTL.ZS
1993,47.1698116933114,BDI,NV.AGR.TOTL.ZS
1992,48.0045217057559,BDI,NV.AGR.TOTL.ZS
1991,48.5979103153404,BDI,NV.AGR.TOTL.ZS
1990,51.0568501841364,BDI,NV.AGR.TOTL.ZS
2021,0.65493044587679,BEL,NV.AGR.TOTL.ZS
2020,0.712818023641571,BEL,NV.AGR.TOTL.ZS
2019,0.718789583537128,BEL,NV.AGR.TOTL.ZS
2018,0.664625571120094,BEL,NV.AGR.TOTL.ZS
2017,0.729532583142538,BEL,NV.AGR.TOTL.ZS
2016,0.673190543684684,BEL,NV.AGR.TOTL.ZS
2015,0.750617272066574,BEL,NV.AGR.TOTL.ZS
2014,0.716518219283319,BEL,NV.AGR.TOTL.ZS
2013,0.764565477908541,BEL,NV.AGR.TOTL.ZS
2012,0.84457469539348,BEL,NV.AGR.TOTL.ZS
